model,well_id,window_start,window_end,n_points,rmse,mae,smape
NaiveDrift,156757,2016-09-01,2022-08-01,72,719.4863387206244,344.97700178620664,78.13258290127439
NaiveDrift,156758,2017-06-01,2022-05-01,60,117.09016726710644,75.75046007487026,72.08912645335045
NaiveDrift,156760,2017-02-01,2022-01-01,60,180.78522244882825,115.22235023815762,89.71574422219211
NaiveDrift,156761,2016-11-01,2022-10-01,72,333.7792689215499,180.43681460813494,90.77639458802047
NaiveDrift,156873,2017-08-01,2022-07-01,60,95.84691343358101,68.95568194444445,79.31988693220386
NaiveDrift,156874,2018-07-01,2024-06-01,72,86.87505162579556,58.063030778325384,86.93695216222861
NaiveDrift,156875,2018-01-01,2023-12-01,72,63.328867591312985,46.76608738530783,59.00604286839161
NaiveDrift,156968,2019-01-01,2024-12-01,72,82.92884592997952,65.51058914436258,47.62664450524014
NaiveDrift,156969,2016-11-01,2022-10-01,72,788.9983518983638,352.4307954676808,69.9451563570228
NaiveDrift,156970,2018-11-01,2024-10-01,72,88.47125002761271,73.60699757136096,92.98025429443197
